date,v1
2019-09-16,15.16
2019-09-17,15.32
2019-09-18,15.33
2019-09-19,15.58
2019-09-20,15.73
2019-09-23,15.51
2019-09-24,15.63
2019-09-25,15.81
2019-09-26,15.98
2019-09-27,15.92
2019-09-30,15.92
2019-10-01,15.75
2019-10-02,15.83
2019-10-03,15.88
2019-10-04,15.98
2019-10-07,15.9
2019-10-08,15.78
2019-10-09,16.04
2019-10-10,16.12
2019-10-11,16.07
2019-10-14,16.06
2019-10-15,16.16
2019-10-16,16.19
2019-10-17,16.15
2019-10-18,16.4
2019-10-21,16.52
2019-10-22,16.33
2019-10-23,16.38
2019-10-24,16.41
2019-10-25,16.41
2019-10-28,16.35
2019-10-29,16.36
2019-10-30,16.18
2019-10-31,16.36
2019-11-01,16.38
2019-11-04,16.15
2019-11-05,15.74
2019-11-06,15.94
2019-11-07,15.68
2019-11-08,15.68
2019-11-11,15.65
2019-11-12,15.55
2019-11-13,15.85
2019-11-14,15.94
2019-11-15,15.93
2019-11-18,15.93
2019-11-19,15.9
2019-11-20,15.97
2019-11-21,15.58
2019-11-22,15.75
2019-11-25,16.01
2019-11-26,16.2
2019-11-27,16.12
2019-11-29,16.22
2019-12-02,16.03
2019-12-03,15.98
2019-12-04,16.01
2019-12-05,15.84
2019-12-06,15.95
2019-12-09,16.01
2019-12-10,15.87
2019-12-11,15.65
2019-12-12,15.3
2019-12-13,15.42
2019-12-16,15.5
2019-12-17,15.24
2019-12-18,15.33
2019-12-19,15.53
2019-12-20,15.66
2019-12-23,15.5
2019-12-24,15.51
2019-12-26,15.63
2019-12-27,15.68
2019-12-30,15.81
2019-12-31,15.92
2020-01-02,15.99
2020-01-03,16.32
2020-01-06,16.38
2020-01-07,16.03
2020-01-08,16.19
2020-01-09,16.18
2020-01-10,16.31
2020-01-13,16.38
2020-01-14,16.21
2020-01-15,16.33
2020-01-16,16.56
2020-01-17,16.54
2020-01-21,16.77
2020-01-22,16.9
2020-01-23,17.01
2020-01-24,17
2020-01-27,16.93
2020-01-28,16.98
2020-01-29,16.99
2020-01-30,17.1
2020-01-31,17.07
2020-02-03,17.04
2020-02-04,17.22
2020-02-05,17.04
2020-02-06,17.12
2020-02-07,17.1
2020-02-10,17.32
2020-02-11,17.13
2020-02-12,17.26
2020-02-13,17.55
2020-02-14,17.66
2020-02-18,17.69
2020-02-19,17.24
2020-02-20,17.11
2020-02-21,17.03
2020-02-24,16.95
2020-02-25,16.52
2020-02-26,16.06
2020-02-27,15.7
2020-02-28,15.57
2020-03-02,16.2
2020-03-03,16.17
2020-03-04,16.67
2020-03-05,16.39
2020-03-06,16.03
2020-03-09,14.89
2020-03-10,15.44
2020-03-11,14.63
2020-03-12,13.93
2020-03-13,14.68
2020-03-16,11.22
2020-03-17,11.99
2020-03-18,10.47
2020-03-19,10.04
2020-03-20,9.33
2020-03-23,8.75
2020-03-24,9.84
2020-03-25,10.24
2020-03-26,10.81
2020-03-27,11.29
2020-03-30,11.5
2020-03-31,11.59
2020-04-01,11.13
2020-04-02,11.22
2020-04-03,10.63
2020-04-06,11.77
2020-04-07,11.85
2020-04-08,12.65
2020-04-09,13.34
2020-04-13,12.98
2020-04-14,13.28
2020-04-15,13.07
2020-04-16,12.53
2020-04-17,13.07
2020-04-20,12.21
2020-04-21,11.61
2020-04-22,12.12
2020-04-23,11.85
2020-04-24,11.95
2020-04-27,12.39
2020-04-28,12.51
2020-04-29,13.12
2020-04-30,12.98
2020-05-01,12.55
2020-05-04,12.51
2020-05-05,12.9
2020-05-06,12.65
2020-05-07,13.51
2020-05-08,13.68
2020-05-11,13.9
2020-05-12,13.24
2020-05-13,13.16
2020-05-14,13.18
2020-05-15,13.23
2020-05-18,13.95
2020-05-19,13.85
2020-05-20,13.56
2020-05-21,13.85
2020-05-22,13.97
2020-05-26,14.34
2020-05-27,14.42
2020-05-28,14.38
2020-05-29,14.43
2020-06-01,15.32
2020-06-02,15.14
2020-06-03,15.27
2020-06-04,15.22
2020-06-05,15.73
2020-06-08,16.03
2020-06-09,15.62
2020-06-10,15.13
2020-06-11,14.44
2020-06-12,15.19
2020-06-15,15.57
2020-06-16,15.84
2020-06-17,15.59
2020-06-18,15.56
2020-06-19,15.28
2020-06-22,15.45
2020-06-23,15.34
