Date_Index,Daily Estimated Operating Income
1423,724.6304347826087
1424,725.2717391304348
1425,725.9130434782609
1426,726.554347826087
1427,727.195652173913
1428,727.8369565217391
1429,728.4782608695652
1430,729.1195652173913
1431,729.7608695652174
1432,730.4021739130435
1433,731.0434782608695
1434,731.6847826086956
1435,732.3260869565217
1436,732.9673913043479
1437,733.6086956521739
1438,734.25
1439,734.8913043478261
1440,735.5326086956521
1441,736.1739130434783
1442,736.8152173913044
1443,737.4565217391304
1444,738.0978260869565
1445,738.7391304347826
1446,739.3804347826087
1447,740.0217391304348
1448,740.6630434782609
1449,741.304347826087
1450,741.945652173913
1451,742.5869565217391
1452,743.2282608695652
1453,743.8695652173913
1454,744.5108695652174
1455,745.1521739130435
1456,745.7934782608695
1457,746.4347826086956
1458,747.0760869565217
1459,747.7173913043479
1460,748.3586956521739
1461,749.0
1462,748.4777777777778
1463,747.9555555555555
1464,747.4333333333333
1465,746.9111111111112
1466,746.3888888888889
1467,745.8666666666667
1468,745.3444444444444
1469,744.8222222222222
1470,744.3
1471,743.7777777777778
1472,743.2555555555556
1473,742.7333333333333
1474,742.2111111111111
1475,741.6888888888889
1476,741.1666666666666
1477,740.6444444444444
1478,740.1222222222223
1479,739.6
1480,739.0777777777778
1481,738.5555555555555
1482,738.0333333333333
1483,737.5111111111111
1484,736.9888888888889
1485,736.4666666666667
1486,735.9444444444445
1487,735.4222222222222
1488,734.9
1489,734.3777777777777
1490,733.8555555555556
1491,733.3333333333334
1492,732.8111111111111
1493,732.2888888888889
1494,731.7666666666667
1495,731.2444444444444
1496,730.7222222222222
1497,730.2
1498,729.6777777777778
1499,729.1555555555556
1500,728.6333333333333
1501,728.1111111111111
1502,727.5888888888888
1503,727.0666666666667
1504,726.5444444444445
1505,726.0222222222222
1506,725.5
1507,724.9777777777778
1508,724.4555555555555
1509,723.9333333333333
1510,723.4111111111112
1511,722.8888888888889
1512,722.3666666666667
1513,721.8444444444444
1514,721.3222222222222
1515,720.8
1516,720.2777777777778
1517,719.7555555555556
1518,719.2333333333333
1519,718.7111111111111
1520,718.1888888888889
1521,717.6666666666666
1522,717.1444444444444
1523,716.6222222222223
1524,716.1
1525,715.5777777777778
1526,715.0555555555555
1527,714.5333333333333
1528,714.0111111111111
1529,713.4888888888889
1530,712.9666666666667
1531,712.4444444444445
1532,711.9222222222222
1533,711.4
1534,710.8777777777777
1535,710.3555555555556
1536,709.8333333333334
1537,709.3111111111111
1538,708.7888888888889
1539,708.2666666666667
1540,707.7444444444444
1541,707.2222222222222
1542,706.7
1543,706.1777777777778
1544,705.6555555555556
1545,705.1333333333333
1546,704.6111111111111
1547,704.0888888888888
1548,703.5666666666666
1549,703.0444444444445
1550,702.5222222222222
1551,702.0
1552,702.2857142857143
1553,702.5714285714286
1554,702.8571428571429
1555,703.1428571428571
1556,703.4285714285714
1557,703.7142857142857
1558,704.0
1559,704.2857142857143
1560,704.5714285714286
1561,704.8571428571429
1562,705.1428571428571
1563,705.4285714285714
1564,705.7142857142857
1565,706.0
1566,706.2857142857143
1567,706.5714285714286
1568,706.8571428571429
1569,707.1428571428571
1570,707.4285714285714
1571,707.7142857142857
1572,708.0
1573,708.2857142857143
1574,708.5714285714286
1575,708.8571428571429
1576,709.1428571428571
1577,709.4285714285714
1578,709.7142857142857
1579,710.0
1580,710.2857142857143
1581,710.5714285714286
1582,710.8571428571429
1583,711.1428571428571
1584,711.4285714285714
1585,711.7142857142857
1586,712.0
1587,712.2857142857143
1588,712.5714285714286
1589,712.8571428571429
1590,713.1428571428571
1591,713.4285714285714
1592,713.7142857142857
1593,714.0
1594,714.2857142857143
1595,714.5714285714286
1596,714.8571428571429
1597,715.1428571428571
1598,715.4285714285714
1599,715.7142857142857
1600,716.0
1601,716.2857142857143
1602,716.5714285714286
1603,716.8571428571429
1604,717.1428571428571
1605,717.4285714285714
1606,717.7142857142857
1607,718.0
1608,718.2857142857143
1609,718.5714285714286
1610,718.8571428571429
1611,719.1428571428571
1612,719.4285714285714
1613,719.7142857142857
1614,720.0
1615,720.2857142857143
1616,720.5714285714286
1617,720.8571428571429
1618,721.1428571428571
1619,721.4285714285714
1620,721.7142857142857
1621,722.0
1622,722.2857142857143
1623,722.5714285714286
1624,722.8571428571429
1625,723.1428571428571
1626,723.4285714285714
1627,723.7142857142857
1628,724.0
